Zeit;Kanal A
(ms);(mV)

-25,00749905;-0,55733270
-25,00249905;0,18577760
-24,99749905;0,00000000
-24,99249905;-0,18577760
-24,98749905;-0,55733270
-24,98249905;-1,11466500
-24,97749905;-0,37155510
-24,97249905;0,00000000
-24,96749905;-0,74311020
-24,96249905;0,00000000
-24,95749905;-0,74311020
-24,95249905;-1,11466500
-24,94749905;-0,55733270
-24,94249905;-0,92888770
-24,93749905;-0,55733270
-24,93249905;-0,55733270
-24,92749905;-0,92888770
-24,92249905;-1,11466500
-24,91749905;-1,30044300
-24,91249905;-1,48622000
-24,90749905;-2,41572300
-24,90249905;-1,67199800
-24,89749905;-1,30044300
-24,89249905;-1,85777500
-24,88749905;-0,92888770
-24,88249905;-2,22994600
-24,87749905;-2,04355300
-24,87249906;-1,67199800
-24,86749906;-2,22994600
-24,86249906;-1,85777500
-24,85749906;-2,22994600
-24,85249906;-1,67199800
-24,84749906;-1,67199800
-24,84249906;-2,22994600
-24,83749906;-2,41572300
-24,83249906;-2,04355300
-24,82749906;-1,48622000
-24,82249906;-2,22994600
-24,81749906;-1,67199800
-24,81249906;-1,30044300
-24,80749906;-1,85777500
-24,80249906;-1,85777500
-24,79749906;-1,11466500
-24,79249906;-1,67199800
-24,78749906;-1,67199800
-24,78249906;-1,85777500
-24,77749906;-1,30044300
-24,77249906;-1,30044300
-24,76749906;-0,74311020
-24,76249906;-1,67199800
-24,75749906;0,00000000
-24,75249906;-0,74311020
-24,74749906;0,00000000
-24,74249906;-1,30044300
-24,73749906;-1,30044300
-24,73249906;-0,37155510
-24,72749906;-1,11466500
-24,72249906;-0,74311020
-24,71749906;0,18577760
-24,71249906;0,18577760
-24,70749906;0,55733270
-24,70249906;0,00000000
-24,69749906;0,92888770
-24,69249906;0,18577760
-24,68749906;0,74311020
-24,68249906;0,74311020
-24,67749906;0,37155510
-24,67249906;0,55733270
-24,66749906;0,92888770
-24,66249906;0,37155510
-24,65749906;1,11466500
-24,65249906;0,92888770
-24,64749906;0,74311020
